sku,department,category,brand,name,image_1,image_2,image_3,image_4,correct_images
NX.B7LAL.002,Computadores,Portátiles,ACER,"Portatil Acer Travelmate Ryzen 7-7735U 16GB 512GB SSD Windows 11 Pro 1Y",https://sedvirtual.sedcolombia.com.co/stockimages/ACER-NX.B7LAL.002-1.jpg,https://sedvirtual.sedcolombia.com.co/stockimages/ACER-NX.B7LAL.002-2.jpg,https://sedvirtual.sedcolombia.com.co/stockimages/ACER-NX.B7LAL.002-3.jpg,https://sedvirtual.sedcolombia.com.co/stockimages/ACER-NX.B7LAL.002-4.jpg,0
SLD570SE,Impresión,Impresora,EPSON,"Impresora fotográfica Epson D570SE PRO MiniLab",,,,https://sedvirtual.sedcolombia.com.co/stockimages/EPSON-SLD570SE-4.jpg,3
T05A200,Impresión,"Suministros de impresión",EPSON,"Bolsa de tinta Epson cian para WF-C878R",,https://sedvirtual.sedcolombia.com.co/stockimages/EPSON-T05A200-2.jpg,https://sedvirtual.sedcolombia.com.co/stockimages/EPSON-T05A200-3.jpg,https://sedvirtual.sedcolombia.com.co/stockimages/EPSON-T05A200-4.jpg,1
T54C120,Impresión,"Suministros de impresión",EPSON,"Botella de tinta Epson Negra 70ML para D570SE",,https://sedvirtual.sedcolombia.com.co/stockimages/EPSON-T54C120-2.jpg,https://sedvirtual.sedcolombia.com.co/stockimages/EPSON-T54C120-3.jpg,https://sedvirtual.sedcolombia.com.co/stockimages/EPSON-T54C120-4.jpg,1
T54C220,Impresión,"Suministros de impresión",EPSON,"Botella de tinta Epson Cyan 70ML para D570SE",,https://sedvirtual.sedcolombia.com.co/stockimages/EPSON-T54C220-2.jpg,https://sedvirtual.sedcolombia.com.co/stockimages/EPSON-T54C220-3.jpg,https://sedvirtual.sedcolombia.com.co/stockimages/EPSON-T54C220-4.jpg,1
T54C320,Impresión,"Suministros de impresión",EPSON,"Botella de tinta Epson Magenta 70ML para D570SE",,https://sedvirtual.sedcolombia.com.co/stockimages/EPSON-T54C320-2.jpg,https://sedvirtual.sedcolombia.com.co/stockimages/EPSON-T54C320-3.jpg,https://sedvirtual.sedcolombia.com.co/stockimages/EPSON-T54C320-4.jpg,1
T54C520,Impresión,"Suministros de impresión",EPSON,"Botella de tinta Epson Cyan Claro 70ML para D570SE",,https://sedvirtual.sedcolombia.com.co/stockimages/EPSON-T54C520-2.jpg,https://sedvirtual.sedcolombia.com.co/stockimages/EPSON-T54C520-3.jpg,https://sedvirtual.sedcolombia.com.co/stockimages/EPSON-T54C520-4.jpg,1
T54C620,Impresión,"Suministros de impresión",EPSON,"Botella de tinta Epson Magenta Claro 70ML / D570SE",,https://sedvirtual.sedcolombia.com.co/stockimages/EPSON-T54C620-2.jpg,https://sedvirtual.sedcolombia.com.co/stockimages/EPSON-T54C620-3.jpg,https://sedvirtual.sedcolombia.com.co/stockimages/EPSON-T54C620-4.jpg,1
T913200,Impresión,"Suministros de impresión",EPSON,"Cartucho EPSON CIAN 200ML",,https://sedvirtual.sedcolombia.com.co/stockimages/EPSON-T913200-2.jpg,https://sedvirtual.sedcolombia.com.co/stockimages/EPSON-T913200-3.jpg,https://sedvirtual.sedcolombia.com.co/stockimages/EPSON-T913200-4.jpg,1
T913400,Impresión,"Suministros de impresión",EPSON,"Cartucho EPSON AMARILLO 200ML",,https://sedvirtual.sedcolombia.com.co/stockimages/EPSON-T913400-2.jpg,https://sedvirtual.sedcolombia.com.co/stockimages/EPSON-T913400-3.jpg,https://sedvirtual.sedcolombia.com.co/stockimages/EPSON-T913400-4.jpg,1
T913600,Impresión,"Suministros de impresión",EPSON,"Cartucho EPSON MAGENTA CLARO 200ML",,https://sedvirtual.sedcolombia.com.co/stockimages/EPSON-T913600-2.jpg,https://sedvirtual.sedcolombia.com.co/stockimages/EPSON-T913600-3.jpg,https://sedvirtual.sedcolombia.com.co/stockimages/EPSON-T913600-4.jpg,1
T913700,Impresión,"Suministros de impresión",EPSON,"Cartucho EPSON NEGRO CLARO 200ML",,https://sedvirtual.sedcolombia.com.co/stockimages/EPSON-T913700-2.jpg,https://sedvirtual.sedcolombia.com.co/stockimages/EPSON-T913700-3.jpg,https://sedvirtual.sedcolombia.com.co/stockimages/EPSON-T913700-4.jpg,1
T942120-AL,Impresión,"Suministros de impresión",EPSON,"Bolsa de tinta Epson negra para WF-5790",,https://sedvirtual.sedcolombia.com.co/stockimages/EPSON-T942120-AL-2.jpg,https://sedvirtual.sedcolombia.com.co/stockimages/EPSON-T942120-AL-3.jpg,https://sedvirtual.sedcolombia.com.co/stockimages/EPSON-T942120-AL-4.jpg,1
AX5U6000C3016G-CLARBK,Almacenamiento,"Memoria RAM",ADATA,"Memoria Ram XPG LANCER DDR5 16GB  6000Mhz RGB Negra",,,,,4
C3P56,Computadores,Portátiles,DELL,"Portátil Dell 3520 15.6' Intel I7-1255U 8GB 512GB SSD Linux 1Y",,,https://sedvirtual.sedcolombia.com.co/stockimages/DELL-C3P56-3.jpg,https://sedvirtual.sedcolombia.com.co/stockimages/DELL-C3P56-4.jpg,2
GD4S320038G-SMI,Almacenamiento,"Memoria RAM",ADATA,"Memoria Ram Adata Gold para portatil 8GB DDR4 3200mhz",,,,https://sedvirtual.sedcolombia.com.co/stockimages/ADATA-GD4S320038G-SMI-4.jpg,3
